类目,字段名称,字段类型,是否必填,AI识别,人工可改,可选值(下拉选项/逗号分隔),固定值,备注
所有类目,商品标题,输入填写,是,是,可改,,,AI生成后人工修改
所有类目,类目,下拉选择,是,是,可改,,,AI判断后锁定
所有类目,品牌,下拉选择,是,否,可改,,无品牌,
所有类目,组合件数,下拉选择,是,是,可改,单件/两件/三件/4件套,,一般除了时尚套装都是单件
所有类目,适用人群,下拉选择,否,否,可改,,女性,
所有类目,适用季节,下拉选择,否,是,可改,,春季/夏季/秋季/冬季/通用,
所有类目,发货模式,开关选择,是,否,可改,现货模式/现货+预售混合模式,,
所有类目,发货时间,下拉选择,是,否,可改,当日发/次日发/次日发/48小时内发货/5天内发货/7天内发货/10天内发货/15天内发货,,
所有类目,运费模板,下拉选择,是,否,可改,,包邮,
所有类目,尺码大小,下拉选择,是,否,可改,,S/M/L/XL ,
所有类目,尺码表,下拉选择,是,否,可改,,125尺码,
所有类目,SKU库存,矩阵填写,是,否,可改,,5000,每个规格组合填库存
所有类目,主图(1:1),上传图片,是,否,可改,,,1-5张
所有类目,详情图(3:4),上传图片,是,否,可改,,,
所有类目,七天无理由,开关选择,是,否,可改,支持,支持,
所有类目,运费险,开关选择,否,否,可改,支持/不支持,支持,
所有类目,发货地,下拉选择,否,否,可改,,广东省广州市,
所有类目,售后服务承诺,开关选择,否,否,可改,,不包含,
所有类目,短标题,输入填写,是,是,可改,,,把商品标题概括12个字
所有类目,上市时间,输入填写,否,否,可改,,2026,
连衣裙,领型,下拉选择,是,是,可改,娃娃领/POLO领/荡领/立领/高领/荷叶领/西装领/U型领/连帽/海军领/圆领/方领/木耳领/斜领/堆堆领/围巾领/半开领/V领/不规则领型/一字领/翻领/水滴领/交叉领/镂空领,,【需填写】
连衣裙,袖长,下拉选择,是,是,可改,无袖/短袖/中袖/五分袖/七分袖/九分袖/长袖,,【需填写】
连衣裙,袖型,下拉选择,是,是,可改,灯笼袖/堆堆袖/常规/公主袖/泡泡袖/荷叶袖/飞飞袖/喇叭袖/露肩,,
连衣裙,款式,下拉选择,是,是,可改,挂脖款/背带款/连帽/斜肩/抹胸款/套头款/吊带款/不规则款,,
连衣裙,适用年龄,下拉选择,是,否,可改,,18-24周岁,
连衣裙,裙长,下拉选择,是,是,可改,超短裙/长裙/中长裙/短裙,,【需填写】
连衣裙,裙型,下拉选择,是,是,可改,A字群/大摆裙/蓬蓬裙/包臀裙/花苞群/蛋糕裙/荷叶裙/百褶裙/鱼尾裙/拖尾裙/燕尾裙/灯笼裙/鱼骨裙,,【需填写】
连衣裙,腰型,下拉选择,是,是,可改,低腰/中腰/高腰,,【需填写】
连衣裙,材质,下拉选择,否,否,可改,,聚酯纤维（涤纶）,【需填写】
T恤-Polo衫-衬衫,领型,下拉选择,是,是,可改,娃娃领/POLO领/荡领/立领/高领/荷叶领/西装领/U型领/连帽/海军领/圆领/方领/木耳领/斜领/堆堆领/围巾领/半开领/V领/不规则领型/一字领/翻领/水滴领/交叉领/镂空领,,【需填写】
T恤-Polo衫-衬衫,袖型,下拉选择,是,是,可改,灯笼袖/常规/泡泡袖/喇叭袖/荷叶袖/飞飞袖/蝙蝠袖,,
T恤-Polo衫-衬衫,袖长,下拉选择,是,是,可改,无袖/短袖/中袖/五分袖/七分袖/九分袖/长袖,,【需填写】
T恤-Polo衫-衬衫,衣长,下拉选择,是,是,可改,短款/中长款/常规款/长款,,【需填写】
T恤-Polo衫-衬衫,服装版型,下拉选择,是,是,可改,宽松型/修身型,,【需填写】
T恤-Polo衫-衬衫,适用年龄,下拉选择,否,否,可改,,18-24周岁,【需填写】
T恤-Polo衫-衬衫,厚度,下拉选择,是,是,可改,厚款/薄款/常规款,,【需填写】
蕾丝衫-雪纺衫,领型,下拉选择,是,是,可改,娃娃领/POLO领/立领/高领/荷叶领/西装领/连帽/海军领/圆领/方领/斜领/堆堆领/围巾领/半开领/V领/一字领,,【需填写】
蕾丝衫-雪纺衫,袖长,下拉选择,是,是,可改,无袖/短袖/中袖/五分袖/七分袖/九分袖/长袖,,【需填写】
蕾丝衫-雪纺衫,衣长,下拉选择,是,是,可改,短款/中长款/常规款/长款,,【需填写】
蕾丝衫-雪纺衫,服装版型,下拉选择,是,是,可改,宽松型/修身型,,【需填写】
蕾丝衫-雪纺衫,穿着方式,下拉选择,是,是,可改,套头/开衫,,【需填写】
蕾丝衫-雪纺衫,袖型,下拉选择,是,是,可改,灯笼袖/堆堆袖/常规/公主袖/泡泡袖/荷叶袖/飞飞袖/喇叭袖,,【需填写】
蕾丝衫-雪纺衫,适用年龄,下拉选择,是,是,可改,18周岁（含）-29周岁（不含）,,【需填写】
针织衫-毛衣-羊毛衫,领型,下拉选择,是,是,可改,娃娃领/POLO领/立领/荷叶领/西装领/连帽/海军领/圆领/方领/斜领/堆堆领/围巾领/半开领/V领/一字领,,【需填写】
针织衫-毛衣-羊毛衫,袖长,下拉选择,是,是,可改,无袖/短袖/中袖/五分袖/七分袖/九分袖/长袖/三分袖,,【需填写】
针织衫-毛衣-羊毛衫,衣长,下拉选择,是,是,可改,短款/中长款/常规款/长款,,【需填写】
针织衫-毛衣-羊毛衫,服装版型,下拉选择,否,是,可改,宽松型/修身型,,【需填写】
针织衫-毛衣-羊毛衫,厚度,下拉选择,是,是,可改,薄款/厚款/加绒加厚款/常规款,,【需填写】
针织衫-毛衣-羊毛衫,适用年龄,下拉选择,否,是,可改,,18-24周岁,【需填写】
背心-吊带,领型,下拉选择,是,是,可改,V领/西装领/针织领/翻领/圆领/立领/可脱卸帽,,【需填写】
背心-吊带,服装版型,下拉选择,是,是,可改,宽松型/修身型/直筒型,,【需填写】
背心-吊带,厚度,下拉选择,否,是,可改,厚款/薄款/常规款,,【需填写】
背心-吊带,适用人群,下拉选择,否,否,可改,,成人,【需填写】
休闲裤,裤长,下拉选择,否,是,可改,,,【需填写】
休闲裤,裤型,下拉选择,否,是,可改,,,【需填写】
休闲裤,腰型,下拉选择,否,是,可改,低腰/中腰/高腰,,【需填写】
休闲裤,服装版型,下拉选择,否,是,可改,,,【需填写】
休闲裤,风格,下拉选择,否,是,可改,,,【需填写】
休闲裤,弹力,下拉选择,否,是,可改,,,【需填写】
休闲裤,厚度,下拉选择,否,是,可改,,,【需填写】
休闲裤,适用年龄,下拉选择,否,是,可改,,,【需填写】
半身裙,裙长,下拉选择,是,是,可改,超短裙/长裙/中长裙/短裙,,【需填写】
半身裙,裙型,下拉选择,是,是,可改,A字群/大摆裙/蓬蓬裙/包臀裙/花苞群/蛋糕裙/荷叶裙/百褶裙/鱼尾裙/燕尾裙/灯笼裙,,【需填写】
半身裙,腰型,下拉选择,是,是,可改,低腰/中腰/高腰,,【需填写】
半身裙,厚度,下拉选择,否,是,可改,薄款/厚款/加绒加厚款/常规款,,【需填写】
半身裙,适用人群,下拉选择,否,否,可改,,成人,【需填写】
半身裙,适用年龄,下拉选择,是,否,可改,,18周岁（含）-25周岁（不含）,【需填写】
外套,服装版型,下拉选择,是,是,可改,宽松型/修身型,,【需填写】
外套,袖型,下拉选择,否,是,可改,灯笼袖/堆堆袖/公主袖/泡泡袖/荷叶袖/飞飞袖/喇叭袖,,【需填写】
外套,袖长,下拉选择,是,是,可改,无袖/短袖/中袖/五分袖/七分袖/九分袖/长袖/三分袖,,【需填写】
外套,衣长,下拉选择,否,是,可改,短款/中长款/常规款/长款,,【需填写】
外套,领型,下拉选择,是,是,可改,娃娃领/POLO领/立领/荷叶领/西装领/连帽/海军领/圆领/方领/斜领/堆堆领/围巾领/半开领/V领/一字领,,【需填写】
外套,厚度,下拉选择,否,是,可改,薄款/厚款/加绒加厚款/常规款,,【需填写】
外套,是否有毛领,下拉选择,否,是,可改,是/否,,【需填写】
外套,适用年龄,下拉选择,是,否,可改,,18-24周岁,【需填写】
时尚套装,适用年龄,下拉选择,是,否,可改,,18周岁（含）-29周岁（不含）,【需填写】
